"NCIt_code","synonyms_lower"
"C101369","gallium ga 68-dotatoc"
"C101370","immunomodulatory agent cc-11006"
"C101370","cc-11006"
"C101370","cc-11006-mds-001"
"C101371","lentivirus vector rhiv7-shi-tar-ccr5rz-transduced hematopoietic progenitor cells"
"C101384","delcasertib"
"C101384","bms-875944"
"C101384","kai-9803"
"C1013","benznidazole"
"C1013","2-nitro-n-(phenylmethyl)-1h-imidazole-1-acetamide"
"C1013","n-benzyl-2-nitroimidazole-1-acetamide"
"C1013","radanil"
"C1013","ro-7-1051"
"C1013","rochagan"
"C1014","verteporfin"
"C1014","bpd-ma"
"C1014","benzoporphyrin derivative monoacid ring a"
"C1014","visudyne"
"C101517","gamma-delta tocotrienol"
"C101517","gdt"
"C101517","gdt3"
"C101518","tocotrienol-rich fraction"
"C101518","trf"
"C101519","edicotinib"
"C101519","1h-imidazole-2-carboxamide, 5-cyano-n-(2-(4,4-dimethyl-1-cyclohexen-1-yl)-6-(tetrahydro-2,2,6,6-tetramethyl-2h-pyran-4-yl)-3-pyridinyl)-"
"C101519","4-cyano-1h-imidazole-2-carboxylic acid n-(2-(4,4-dimethylcyclohex-1-enyl)-6-(2,2,6,6-tetramethyltetrahydropyran-4-yl)pyridin-3-yl)amide"
"C101519","4-cyano-n-(2-(4,4-dimethylcyclohex-1-en-1-yl)-6-(2,2,6,6-tetramethyl-tetrahydro-2h-pyran-4-yl)pyridin-3-yl)-1h-imidazole-2-carboxamide"
"C101519","jnj-40346527"
"C101520","flt3/kit kinase inhibitor akn-028"
"C101520","akn-028"
"C101520","bvt-ii"
"C101521","anti-dll4 monoclonal antibody medi0639"
"C101521","medi-0639"
"C101521","medi0639"
"C101523","hypoxia-activated prodrug th-4000"
"C101523","hypoxin"
"C101523","pr610"
"C101523","th-4000"
"C101524","indusatumab vedotin"
"C101524","mln0264"
"C101525","trpv6 calcium channel inhibitor sor-c13"
"C101525","sor-c13"
"C101530","folate binding protein e39 peptide vaccine"
"C101530","e39 peptide vaccine"
"C101530","fbp e39 peptide vaccine"
"C101532","mek inhibitor wx-554"
"C101532","wx-554"
"C101534","cicletanine hydrochloride"
"C101534","furo(3,4-c)pyridin-7-ol, 3-(4-chlorophenyl)-1,3-dihydro-6-methyl-, hydrochloride"
"C101534","win-90000 hcl"
"C101535","ketobemidone hydrochloride"
"C101535","1-(4-(3-hydroxyphenyl)-1-methyl-4-piperidinyl)-1-propanone hydrochloride"
"C101535","cymidon"
"C101535","hoechst 10720"
"C101535","ketodur"
"C101535","win-1539"
"C101536","flumedroxone acetate"
"C101536","6alpha-trifluoromethyl-17alpha-acetoxyprogesterone"
"C101536","wg-537"
"C101538","molibresib"
"C101538","gsk-525762a"
"C101538","gsk525762"
"C101538","i-bet 762"
"C1015","ubenimex"
"C1015","bestatin"
"C1015","l-leucine, n-(3-amino-2-hydroxy-1-oxo-4-phenylbutyl)-, [s-(r*,s*)]-"
"C1015","n-[(2s,3r)-4-phenyl-3-amino-2-hydroxybutyryl]-l-leucine"
"C1015","nk 421"
"C1015","[(2s,3r)-3-amino-2-hydroxy-4-phenylbutanoyl]-l-leucine"
"C1015","[s-(r*,s*)]-n-(3-amino-2-hydroxy-1-oxo-4-phenylbutyl)-l-leucine"
"C1016","beta-carotene"
"C1016",".beta.-carotene"
"C1016","3,7,12,16-tetramethyl-1,18-bis(2,6,6-trimethyl-1-cyclohexenyl)-octadeca-1,3,5,7,9,11,13,15,17-nonaene"
"C1016","beta carotene"
"C1016","carotene, beta"
"C1016","lumitene"
"C1016","solatene"
"C101773","mesothelin-specific chimeric antigen receptor-engineered peripheral blood lymphocytes"
"C101773","anti-mesothelin car pbl"
"C101776","iobenguane i-124"
"C101776","124i-mibg"
"C101776","124i-metaiodobenzylguanidine"
"C101776","iodine i 124 iobenguane"
"C101776","iodine i 124 metaiodobenzylguanidine"
"C101777","multi-epitope folate receptor alpha peptide vaccine"
"C101777","fr alpha peptide vaccine"
"C101778","lipegfilgrastim"
"C101778","lonquest"
"C101778","pegylated granulocyte colony stimulating factor (human short isoform) o(sup 3.137)-((3,5-dideoxy-5-((n-((omega-methoxypoly(oxyethylene))carbonyl)glycyl)amino)-d- glycero-alpha-d-galacto-non-2-ulopyranosylonic acid)-(2->6)-2-(acetylamino)-2-deoxy-alpha-d- galactopyranosyl)-des-(37-39)-(1-methionine)human granulocyte colony-stimulating factor (g-csf, pluripoietin)"
"C101778","poly(oxy-1,2-ethanediyl), alpha-hydro-omega-methoxy-, 133-ester with granulocyte colony-stimulating factor (methionyl,133-(o-(2-(acetylamino)-6-o-(n-((n- carboxyglycyl)amino)-alpha-neuraminosyl)-2-deoxy-alpha-d-galactopyranosyl)-l-threonine)) (human)"
"C101778","xm22"
"C101786","multi-agc kinase inhibitor at13148"
"C101786","at-13148"
"C101786","at13148"
"C101787","til 1383i t cell receptor-transduced autologous t cells"
"C101787","til 1383i tcr transduced autologous t cells"
"C101788","lipopolysaccharide"
"C101788","lps"
"C101789","adenoviral transduced hil-12-expressing autologous dendritic cells inxn-3001 plus activator ligand inxn-1001"
"C101789","dc-rts-il-12"
"C101789","inxn-3001/1001"
"C101790","alectinib"
"C101790","5h-benzo(b)carbazole-3-carbonitrile, 9-ethyl-6,11-dihydro-6,6-dimethyl-8-(4-(4-morpholinyl)-1-piperidinyl)-11-oxo-"
"C101790","af-802"
"C101790","af802"
"C101790","alk inhibitor ro5424802"
"C101790","alecensa"
"C101790","ch5424802"
"C101790","rg7853"
"C101790","ro5424802"
"C101791","olmutinib"
"C101791","2-propenamide, n-(3-((2-((4-(4-methyl-1-piperazinyl)phenyl)amino)thieno(3,2-d)pyrimidin-4-yl)oxy)phenyl)-"
"C101791","bi 1482694"
"C101791","hm61713"
"C101792","linoleyl carbonate-paclitaxel"
"C101792","2-linoleyl carbonate-paclitaxel"
"C101792","loc-paclitaxel"
"C101793","topical calcitriol"
"C101793","topical compound 31543"
"C101794","aerosolized aldesleukin"
"C101794","aerosolized recombinant il-2"
"C101795","torc1/2 kinase inhibitor ds-3078a"
"C101795","ds-3078a"
"C101796","allogeneic adenovirus-specific cytotoxic t lymphocytes"
"C101796","allogeneic adenovirus-specific ctls"
"C101889","epha2-targeting dopc-encapsulated sirna"
"C101889","sirna-epha2-dopc"
"C101890","epidermal growth factor ointment"
"C101890","egf ointment"
"C101890","sesal yeongo"
"C101891","allogeneic gm-csf-secreting tumor vaccine panc 6.03 pcdna-1/gm-neo"
"C101891","panc 6.03 pcdna-1/gm-neo"
"C101892","allogeneic gm-csf-secreting tumor vaccine panc 10.05 pcdna-1/gm-neo"
"C101892","panc 10.05 pcdna-1/gm-neo"
"C101893","hla-a*2402-restricted multipeptide vaccine s-488410"
"C101893","s-488410"
"C101894","poly-alendronate dextran-guanidine conjugate"
"C101894","dextran/alendronate/guanidine-containing polybisphosphonate"
"C101894","odx"
"C101894","osteodex"
"C101895","elgemtumab"
"C101895","ljm-716"
"C101895","ljm716"
"C1018","klebsiella pneumoniae glycoprotein"
"C1018","biostim"
"C1018","ru 41.740"
"C1018","ru- 41740"
"C1019","bisantrene"
"C1019","9,10-anthracenedicarboxakdehyde bis[(4,5-dihydro-1h-imidazol-2-yl)hydrazone]"
"C1019","9,10-anthracenedicarboxaldehyde bis(2-imidazolin-2-yl)hydrazone"
"C1020","bismuth subsalicylate"
"C1020","pepto bismol"
"C1020","pepto-bismol"
"C1021","batanopride"
"C1021","bmy-25801"
"C102246","oral medication"
"C1022","emitefur"
"C1022","(2) m-[[3-(ethoxymethyl)-5-fluoro-3,6-dihydro-2,6-dioxo-1(2h)-pyrimidinyl]carbonyl]benzoic acid, 2-ester with 2,6-dihydroxynicotinonitrile benzoate (ester)"
"C1022","3-((3-(ethoxymethyl)-5-fluoro-3,6-dihydro-2,6-dioxo-1(2h)-pyrimidinyl)carbonyl)benzoic acid, 6-(benzoyloxy)-3-cyano-2-pyridinyl ester"
"C1022","3-[3-(6-benzoyloxy-3-cyrano-2-pyridyloxycarbonyl)benzoyl]-1-(ethoxymethyl)-5-fluorouracil"
"C1022","bof-a2"
"C1022","last-f"
"C1022","[[ethoxymethyl-5-fluoro-3,6-dihydro-2,6-dioxo-1(2h)-pyrimidinyl]carbonyl]benzoic acid, 6-(benzoyloxy)-3-cyano-2-pyridinyl ester"
"C1024","bropirimine"
"C1024","2-amino-5-bromo-6-phenyl-4(3h)-pyrimidone"
"C1024","2-amino-5-bromo-6-phenyl-4-(3h)-pyrimidinone"
"C1024","4(3h)-pyrimidinone, 2-amino-5-bromo-6-phenyl-"
"C1024","4-pyrimidinol, 2-amino-5-bromo-6-phenyl-"
"C1024","abpp"
"C1024","remisar"
"C1024","u-54,461"
"C102526","doxycycline phosphate"
"C102526","2-naphthacenecarboxamide, 4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,5,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, (4s-(4alpha,4aalpha,5alpha,5aalpha,6alpha,12aalpha))-, phosphate (1:1) (salt)"
"C102535","anti-erbb3 monoclonal antibody av-203"
"C102535","av 203"
"C102535","av-203"
"C102535","av203"
"C102535","anti-erbb3 moab av-203"
"C102535","can-017"
"C102536","hyaluronic acid-based hydrating vaginal gel"
"C102536","hyalo gyn"
"C102539","water-based vaginal lubricant"
"C102540","lactoperoxidase/lysozyme/lactoferrin-based prebiotic vaginal lubricant"
"C102540","luvena"
"C102541","adenovirus-psa prostate cancer vaccine"
"C102541","ad/psa vaccine"
"C102541","adenovirus/psa vaccine"
"C102546","selinexor"
"C102546","2-propenoic acid, 3-(3-(3,5-bis(trifluoromethyl)phenyl)-1h-1,2,4-triazol-1-yl)-, 2-(2-pyrazinyl)hydrazide, (2z)-"
"C102546","atg-010"
"C102546","crm1 nuclear export inhibitor kpt-330"
"C102546","kpt-330"
"C102546","sine kpt-330"
"C102546","selective inhibitor of nuclear export kpt-330"
"C102546","xpovio"
"C102547","beta-hydroxy-beta-methylbutyrate supplement"
"C102547","hmb supplement"
"C102554","trifluridine and tipiracil hydrochloride"
"C102554","lonsurf"
"C102554","tas 102"
"C102554","tas-102"
"C102554","thymidine, alpha,alpha,alpha-trifluoro-, mixt. with 5-chloro-6-((2-imino-1-pyrrolidinyl)methyl)-2,4(1h,3h)-pyrimidinedione monohydrochloride"
"C102554","tipiracil hydrochloride mixture with trifluridine"
"C102554","trifluridine/tipiracil"
"C102554","trifluridine/tipiracil hydrochloride combination agent tas-102"
"C102555","r1 cooling gel plus r2 moisturizing/sun protecting lotion"
"C102555","r1/r2 waterjel"
"C102564","capivasertib"
"C102564","azd5363"
"C102565","ipafricept"
"C102565","fusion protein for immune applications (fpia) comprising homo sapiens fzd8 (frizzled family receptor 8, frizzled-8) extracellular domain, fused with homo sapiens immunoglobulin g1 fc fragment"
"C102565","fzd8-fc"
"C102565","omp 54f28"
"C102565","omp-54f28"
"C102566","mirvetuximab soravtansine"
"C102566","elahere"
"C102566","imgn853"
"C102566","m9346a-sulfo-spdb-dm4"
"C102566","mirvetuximab soravtansine-gynx"
"C102567","saccharomyces boulardii probiotic supplement"
"C102567","floratil"
"C102567","s. boulardii probiotic"
"C102568","docetaxel lipid microspheres"
"C102568","dle"
"C102568","dt-lm"
"C102569","recombinant ephb4-hsa fusion protein"
"C102569","sephb4-hsa"
"C102571","epoetin zeta"
"C102571","sb309"
"C102571","silapo"
"C102624","directly observed therapy"
"C1026","bryostatin 1"
"C1026","b705008k112"
"C1026","bryostatin i"
"C102745","extended release bupivacaine hydrochloride resorbable matrix formulation"
"C102745","er bupivacaine hcl"
"C102745","saber-bupivacaine hydrochloride"
"C102745","sustained release bupivacaine hydrochloride"
"C102746","parp/tankyrase inhibitor 2x-121 "
"C102746","2x-121"
"C102746","e-7449"
"C102746","e7449"
"C102746","parp/tnks inhibitor 2x-121"
"C102746","parp/tankyrase inhibitor 2x-121"
"C102747","pled-based mnsod mimetic"
"C102747","calmangafodipir"
"C102747","pledox"
"C102747","pp-095"
"C102748","vaccinium myrtillus/macleaya cordata/echinacea angustifolia extract granules"
"C102748","samital granules"
"C102748","v. myrtillus/m. cordata/e. angustfolia extract granules"
"C102751","wt1 peptide vaccine wt2725"
"C102751","wt2725"
"C102752","fosgemcitabine palabenamide"
"C102752","acelarin"
"C102752","gemictabine protide"
"C102752","nuc 1031"
"C102752","nuc-1031"
"C102753","adenovirus encoding tyrosinase/mart-1/magea6-transduced autologous dendritic cell vaccine"
"C102753","advtmm2-transduced dendritic cell vaccine"
"C102754","ensartinib"
"C102754","6-amino-5-[(1r)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]- n-{4-[(3r,5s)-3,5-dimethylpiperazine- 1-carbonyl]phenyl}pyridazine-3-carboxamide"
"C102754","x-396"
"C102755","ulimorelin hydrochloride"
"C102755","(2r,5s,8r,11r)-5-cyclopropyl-11-((4-fluorophenyl)methyl)-2,7,8-trimethyl-2,3,4,5,7,8,10,11,13,14,15,16-dodecahydro-6h-1,4,7,10,13- benzoxatetraazacyclooctadecine-6,9,12-trione hydrochloride monohydrate"
"C102755","tzp-101"
"C102756","sheng-mai san"
"C102756","panax ginseng/ophiopogon japonicus/schisandra chinensis herbal supplement"
"C102756","shengmai san"
"C102757","allodepleted haploidentical t cells-expressing inducible caspase 9"
"C102757","icasp9 allogeneic t cells"
"C102758","tisagenlecleucel"
"C102758","cart-19"
"C102758","cart19"
"C102758","ctl019"
"C102758","ctl019 t-cells"
"C102758","kymriah"
"C102758","tisagenlecleucel-t"
"C102759","lactobacillus plantarum 299v/lactobacillus acidophilus/bifidobacterium lactis probiotic supplement"
"C102759","goodbelly probiotic"
"C102782","recombinant human muc1-oxidized polymannose-pulsed autologous dendritic cell vaccine"
"C102783","sacituzumab govitecan"
"C102783","immu-132"
"C102783","rs7-sn38"
"C102783","sacituzumab govitecan-hziy"
"C102783","trodelvy"
"C102783","hrs7-sn38 antibody drug conjugate"
"C102784","talacotuzumab"
"C102784","anti-il-3 receptor alpha monoclonal antibody csl362"
"C102784","csl 362"
"C102784","csl362"
"C102784","jnj-56022473"
"C102784","jnj56022473"
"C102786","rivipansel"
"C102786","gmi-1070"
"C102786","pf-06460031"
"C102787","hpv e6/e7 dna vaccine gx-188e"
"C102787","gx-188e"
"C102789","inducible cd4+cd25+ regulatory t cells"
"C102789","itregs"
"C1027","budesonide"
"C1027","(rs)-11beta,16alpha,17,21,-tetrahydroxypregna-1,4-diene-3,20-dione cyclic 16,17-acetal w/ butyraldehyde"
"C1027","budecort"
"C1027","butacort"
"C1027","eltair"
"C1027","nasocort"
"C1027","preferid"
"C1027","pregna-1,4-diene-3,20-dione,16,17-(butylidenebis(oxy))-11,21-dihydroxy-, (11beta,16alpha)-"
"C1027","pulmicort"
"C1027","pulmicort turbuhaler"
"C1027","rhinocort"
"C102847","carmustine sustained-release implant wafer"
"C102847","casant wafer"
"C102848","absorbable adhesion barrier gel"
"C102848","oxiplex/ap gel"
"C102849","ck2-targeting synthetic peptide cigb-300"
"C102849","cibg-300"
"C102849","cigb-300"
"C102849","cigb-325"
"C102849","p15-tat"
"C102850","naphthalimide analogue unbs5162"
"C102850","1-(2-(2-(dimethylamino)ethyl)-1,3-dioxo-2,3-dihydro-1h-benzo[de]isoquinolin-5-yl)urea"
"C102850","unbs-5162"
"C102850","unbs5162"
"C102851","ulinastatin"
"C102851","bikunin"
"C102851","trypsin inhibitor, bikunin"
"C102851","uti"
"C102851","urinary trypsin inhibitor"
"C102852","fruquintinib"
"C102852","6-(6,7-dimethoxyquinazolin-4-yl)oxy-n,2-dimethyl-1-benzofuran-3-carboxamide"
"C102852","elunate"
"C102852","hmpl-013"
"C102852","vegfr-1/2/3 inhibitor hmpl-013"
"C102853","anti-tgf-beta rii monoclonal antibody imc-tr1"
"C102853","imc-tr1"
"C102853","ly3022859"
"C102854","efbemalenograstim alfa"
"C102854","f-627"
"C102854","f627"
"C102854","recombinant dimeric g-csf fusion protein f627"
"C102854","rh g-csf fc fusion protein f-627"
"C102855","cyp17/cyp11b2 inhibitor lae001"
"C102855","cfg 920"
"C102855","cfg-920"
"C102855","cfg920"
"C102855","lae 001"
"C102855","lae-001"
"C102855","lae001"
"C102856","gemcitabine prodrug ly2334737"
"C102856","ly-2334737"
"C102856","ly2334737"
"C102862","long acting myeloid growth factor"
"C102862","long-acting myeloid growth factor"
"C102863","short acting myeloid growth factor"
"C102863","short-acting myeloid growth factor"
"C102865","diammonium glycyrrhizinate"
"C102865","18beta-glycyrrhizic acid diammoniumsalt"
"C102865","alpha-d-glucopyranosiduronic acid, (3beta,20beta)-20-carboxy-11-oxo-30-norolean-12-en-3-yl 2-o-beta-d-glucopyranuronosyl-, diammonium salt (9ci)"
"C102868","aspirin/simvastatin/atenolol/ramipril/thiazide capsule"
"C102868","polycap"
"C102868","quintapill"
"C102874","hpv-16 e6 peptides vaccine/candida albicans extract"
"C102874","hpv-16 e6 peptides vaccine/candin"
"C102874","pepcan"
"C102875","nanoparticle-encapsulated doxorubicin hydrochloride"
"C102875","ba-003"
"C102875","doxorubicin transdrug"
"C102875","livatag"
"C102876","tirabrutinib"
"C102876","6-amino-9-((3r)-1-(2-butynoyl)-3-pyrrolidinyl)-7-(4-phenoxyphenyl)-7,9-dihydro-8h-purin-8-one"
"C102876","8h-purin-8-one,6-amino-7,9-dihydro-9-((3r)-1-(1-oxo-2-butyn-1-yl)-3-pyrrolidinyl)-7-(4-phenoxyphenyl)"
"C102876","gs-4059"
"C102876","ono-4059"
"C102876","ono4059"
"C102877","olinvacimab"
"C102877","ttac-0001"
"C102879","htert/survivin/cmv multipeptide vaccine"
"C102880","everolimus tablets for oral suspension"
"C102880","afinitor disperz"
"C102881","thioureidobutyronitrile"
"C102881","4-isothioureidobutyronitrile"
"C102881","carbamimidothioic acid, 3-cyanopropyl ester"
"C102881","kevetrin"
"C102882","uniformly-labeled [13c]glucose"
"C102882","u-13c-glucose"
"C102882","[u-13c] glucose"
"C1028","butein"
"C1028","2',3,4,4'-tetrahydroxy-chalcone"
"C102976","src/abl kinase inhibitor azd0424"
"C102976","azd-0424"
"C102976","azd0424"
"C102978","apoptotic autologous tumor cells-pulsed alpha-type-1 polarized dendritic cells"
"C102980","anti-enpp3 antibody-drug conjugate ags-16c3f"
"C102980","adc ags-16c3f"
"C102980","ags-16c3f"
"C102981","iodine i 131 rituximab"
"C102981","(131)i-rituximab"
"C102981","131i-rituxan"
"C102981","rituximab i-131"
"C102982","gag:267-274 peptide vaccine"
"C1029","buthionine sulfoximine"
"C1029","2-amino-4-(s-butylsulfonimidoyl) butanoic acid"
"C1029","bso"
"C1029","buthionine sulfoximine, l-"
"C1029","butanoic acid, 2-amino-4-(s-butylsulfonimidoyl)-"
"C1029","buthionine sulphoximine"
"C1029","l-buthionine sulfoximine"
"C1029","s-(3-amino-3-carboxypropyl)-s-butylsulfoximine"
"C1029","s-(n-butyl)homocysteine sulfoximine"
"C1030","butocin"
"C1030","benin"
"C1030","butocine"
"C1030","n-(5-(6-purinylthio)valeryl)glycine ethyl ester"
"C1030","benin spofa"
"C103147","venetoclax"
"C103147","4-(4-((2-(4-chlorophenyl)-4,4-dimethylcyclohex-1-en-1-yl)methyl)piperazin-1-yl)-n-((3-nitro-4-((tetrahydro-2h-pyran-4-ylmethyl)amino)phenyl)sulfonyl)-2-(1h-pyrrolo(2,3-b)pyridin-5-yloxy)benzamide"
"C103147","abt-0199"
"C103147","abt-199"
"C103147","abt199"
"C103147","gdc-0199"
"C103147","rg7601"
"C103147","venclexta"
"C103147","venclyxto"
"C103177","beta-elemene"
"C103177","(1s,2s,4r)-2,4-diisopropenyl-1-methyl-1-vinylcyclohexane"
"C103177","(1alpha,2beta,4beta)-1-methyl-2,4-bis(methylvinyl)-1- vinylcyclohexane"
"C103178","modified citrus pectin supplement"
"C103178","pectasol-c"
"C103179","pinometostat"
"C103179","dot1l inhibitor epz-5676"
"C103179","epz-5676"
"C103181","soy lecithin/glycerol dioleate-based oral spray"
"C103181","episil"
"C103192","plasmacytoid dendritic cell vaccine"
"C103192","pdc vaccine"
"C103193","tumor-cells apoptosis factor hormone-peptide"
"C103193","nerofe"
"C103194","durvalumab"
"C103194","imfinzi"
"C103194","immunoglobulin g1, anti-(human protein b7-h1) (human monoclonal medi4736 heavy chain), disulfide with human monoclonal medi4736 kappa-chain, dimer"
"C103194","medi-4736"
"C103194","medi4736"
"C103195","lexaptepid pegol"
"C103195","nox-h94"
"C103196","fluorine f 18 4-l-fluoroglutamine (2s,4r)"
"C103196","18f fluoroglutamine"
"C1031","piritrexim"
"C1031","2,4-diamino-6-(2,5-dimethoxybenzyl)-5-methylpyrido[2,3-d]pyrimidine"
"C1031","6-((2,5-dimethoxyphenyl)methyl)-5-methylpyrido(2,3-d)pyrimidine-2,4-diamine"
"C1031","6-[(2,5-dimethoxyphenyl)methyl]-5-methylpyrido[2,3-d]pyrimidine-2,4-diamine"
"C1031","bw 301u"
"C1031","bw-301u"
"C103224","bamipine dihydrochloride"
"C103224","piperidine, 4-(n-benzyl-n-phenylamino)-1-methyl-, dihydrochloride"
"C103230","phellodendron amurense bark extract"
"C103230","nexrutine"
"C103230","phellodendron amurense bark"
"C103271","largetrifoliolious bugbane rhizome supplement"
"C103271","ximingting"
"C103272","nitroglycerin transdermal patch"
"C103272","gtn transdermal patch"
"C103272","glyceryl trinitrate transdermal patch"
"C103272","minitran"
"C103273","erdafitinib"
