"from","to","parent_action_type","action_type","mechanism_of_action","disease_efficacy","source","LINK_FUNCTION"
"C101132","NDUFA10","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA11","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA12","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA13","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA2","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA3","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA4","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA4L2","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA5","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA6","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA7","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA8","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFA9","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFAB1","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFAF1","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFAF2","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFAF3","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFAF4","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB1","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB10","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB11","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB2","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB3","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB4","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB5","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB6","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB7","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB8","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFB9","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFC1","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFC2","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFS1","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFS2","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFS3","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFS4","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFS5","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFS6","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFS7","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFS8","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFV1","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFV2","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101132","NDUFV3","NEGATIVE MODULATOR","INHIBITOR","Mitochondrial complex I (NADH dehydrogenase) inhibitor",TRUE,"ChEMBL",-1
"C101384","PRKCD","NEGATIVE MODULATOR","INHIBITOR","Protein kinase C delta inhibitor",TRUE,"ChEMBL",-1
"C101519","CSF1R","NEGATIVE MODULATOR","INHIBITOR","Macrophage colony stimulating factor receptor inhibitor",TRUE,"ChEMBL",-1
"C101520","FLT3","NEGATIVE MODULATOR","INHIBITOR","Tyrosine-protein kinase receptor FLT3 inhibitor",TRUE,"ChEMBL",-1
"C101524","GUCY2C","OTHER","BINDING AGENT","Heat-stable enterotoxin receptor binding agent",TRUE,"ChEMBL",0
"C101524","TUBA1A","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBA1B","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBA1C","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBA3E","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBA4A","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBB","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBB1","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBB2A","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBB2B","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBB3","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBB4A","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBB4B","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBB6","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101524","TUBB8","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C101532","MAP2K1","NEGATIVE MODULATOR","INHIBITOR","Dual specificity mitogen-activated protein kinase kinase 1 inhibitor",TRUE,"ChEMBL",-1
"C101532","MAP2K2","NEGATIVE MODULATOR","INHIBITOR","Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",TRUE,"ChEMBL",-1
"C101538","BRD2","NEGATIVE MODULATOR","INHIBITOR","Bromodomain and extra-terminal motif (BET) inhibitor",TRUE,"ChEMBL",-1
"C101538","BRD3","NEGATIVE MODULATOR","INHIBITOR","Bromodomain and extra-terminal motif (BET) inhibitor",TRUE,"ChEMBL",-1
"C101538","BRD4","NEGATIVE MODULATOR","INHIBITOR","Bromodomain and extra-terminal motif (BET) inhibitor",TRUE,"ChEMBL",-1
"C101538","BRDT","NEGATIVE MODULATOR","INHIBITOR","Bromodomain and extra-terminal motif (BET) inhibitor",TRUE,"ChEMBL",-1
"C101778","CSF3R","POSITIVE MODULATOR","AGONIST","Granulocyte colony stimulating factor receptor agonist",TRUE,"ChEMBL",1
"C101786","MAPKAPK2","NEGATIVE MODULATOR","INHIBITOR","MAP kinase-activated protein kinase 2 inhibitor",TRUE,"ChEMBL",-1
"C101786","ROCK1","NEGATIVE MODULATOR","INHIBITOR","Rho-associated protein kinase inhibitor",TRUE,"ChEMBL",-1
"C101786","ROCK2","NEGATIVE MODULATOR","INHIBITOR","Rho-associated protein kinase inhibitor",TRUE,"ChEMBL",-1
"C101790","ALK","NEGATIVE MODULATOR","INHIBITOR","ALK tyrosine kinase receptor inhibitor|EML4-ALK",TRUE,"ChEMBL",-1
"C101790","EML4","NEGATIVE MODULATOR","INHIBITOR","EML4-ALK",TRUE,"ChEMBL",-1
"C101790","RET","NEGATIVE MODULATOR","INHIBITOR","Tyrosine-protein kinase receptor RET inhibitor",TRUE,"ChEMBL",-1
"C101791","EGFR","NEGATIVE MODULATOR","INHIBITOR","Epidermal growth factor receptor erbB1 inhibitor",TRUE,"ChEMBL",-1
"C101795","MTOR","NEGATIVE MODULATOR","INHIBITOR","Serine/threonine-protein kinase mTOR inhibitor",TRUE,"ChEMBL",-1
"C101895","ERBB3","NEGATIVE MODULATOR","INHIBITOR","Receptor tyrosine-protein kinase erbB-3 inhibitor",TRUE,"ChEMBL",-1
"C1019","FTO","NEGATIVE MODULATOR","INHIBITOR","Alpha-ketoglutarate-dependent dioxygenase FTO inhibitor",TRUE,"ChEMBL",-1
"C1020","PTGS1","NEGATIVE MODULATOR","INHIBITOR","Cyclooxygenase inhibitor",TRUE,"ChEMBL",-1
"C1020","PTGS2","NEGATIVE MODULATOR","INHIBITOR","Cyclooxygenase inhibitor",TRUE,"ChEMBL",-1
"C102535","ERBB3","NEGATIVE MODULATOR","INHIBITOR","Receptor tyrosine-protein kinase erbB-3 inhibitor",TRUE,"ChEMBL",-1
"C102546","XPO1","NEGATIVE MODULATOR","INHIBITOR","Exportin-1 inhibitor",TRUE,"ChEMBL",-1
"C102564","AKT1","NEGATIVE MODULATOR","INHIBITOR","Serine/threonine-protein kinase AKT inhibitor",TRUE,"ChEMBL",-1
"C102564","AKT2","NEGATIVE MODULATOR","INHIBITOR","Serine/threonine-protein kinase AKT inhibitor",TRUE,"ChEMBL",-1
"C102564","AKT3","NEGATIVE MODULATOR","INHIBITOR","Serine/threonine-protein kinase AKT inhibitor",TRUE,"ChEMBL",-1
"C102565","FZD8","NEGATIVE MODULATOR","ANTAGONIST","Frizzled-8 antagonist",TRUE,"ChEMBL",-1
"C102566","FOLR1","OTHER","BINDING AGENT","Folate receptor alpha binding agent",TRUE,"ChEMBL",0
"C102566","TUBA1A","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBA1B","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBA1C","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBA3E","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBA4A","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBB","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBB1","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBB2A","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBB2B","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBB3","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBB4A","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBB4B","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBB6","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102566","TUBB8","NEGATIVE MODULATOR","INHIBITOR","Tubulin inhibitor",TRUE,"ChEMBL",-1
"C102569","EFNB2","NEGATIVE MODULATOR","INHIBITOR","Ephrin-B2 inhibitor",TRUE,"ChEMBL",-1
"C102571","EPOR","POSITIVE MODULATOR","AGONIST","Erythropoietin receptor agonist",TRUE,"ChEMBL",1
"C1027","NR3C1","POSITIVE MODULATOR","AGONIST","Glucocorticoid receptor agonist",TRUE,"ChEMBL",1
"C102746","PARP1","NEGATIVE MODULATOR","INHIBITOR","Poly [ADP-ribose] polymerase-1 inhibitor",TRUE,"ChEMBL",-1
"C102746","PARP2","NEGATIVE MODULATOR","INHIBITOR","Poly [ADP-ribose] polymerase 2 inhibitor",TRUE,"ChEMBL",-1
"C102746","TNKS","NEGATIVE MODULATOR","INHIBITOR","Tankyrase 1/2 inhibitor",TRUE,"ChEMBL",-1
"C102746","TNKS2","NEGATIVE MODULATOR","INHIBITOR","Tankyrase 1/2 inhibitor",TRUE,"ChEMBL",-1
"C102754","ALK","NEGATIVE MODULATOR","INHIBITOR","ALK tyrosine kinase receptor inhibitor",TRUE,"ChEMBL",-1
"C102755","GHSR","POSITIVE MODULATOR","AGONIST","Ghrelin receptor agonist",TRUE,"ChEMBL",1
"C102758","CD19","OTHER","BINDING AGENT","B-lymphocyte antigen CD19 binding agent",TRUE,"ChEMBL",0
"C102783","TACSTD2","OTHER","BINDING AGENT","Tumor-associated calcium signal transducer 2 binding agent",TRUE,"ChEMBL",0
"C102783","TOP1","NEGATIVE MODULATOR","INHIBITOR","DNA topoisomerase I inhibitor",TRUE,"ChEMBL",-1
"C102784","IL3RA","OTHER","BINDING AGENT","Interleukin-3 receptor subunit alpha binding agent",TRUE,"ChEMBL",0
"C102786","SELE","NEGATIVE MODULATOR","ANTAGONIST","Selectin E antagonist",TRUE,"ChEMBL",-1
"C102786","SELL","NEGATIVE MODULATOR","ANTAGONIST","Leukocyte adhesion molecule-1 antagonist",TRUE,"ChEMBL",-1
"C102786","SELP","NEGATIVE MODULATOR","ANTAGONIST","P-selectin antagonist",TRUE,"ChEMBL",-1
"C102852","FLT1","NEGATIVE MODULATOR","INHIBITOR","Vascular endothelial growth factor receptor inhibitor",TRUE,"ChEMBL",-1
"C102852","FLT4","NEGATIVE MODULATOR","INHIBITOR","Vascular endothelial growth factor receptor inhibitor",TRUE,"ChEMBL",-1
"C102852","KDR","NEGATIVE MODULATOR","INHIBITOR","Vascular endothelial growth factor receptor inhibitor",TRUE,"ChEMBL",-1
"C102876","BTK","NEGATIVE MODULATOR","INHIBITOR","Tyrosine-protein kinase BTK inhibitor",TRUE,"ChEMBL",-1
"C102877","KDR","NEGATIVE MODULATOR","INHIBITOR","Vascular endothelial growth factor receptor 2 inhibitor",TRUE,"ChEMBL",-1
"C102880","FKBP1A","NEGATIVE MODULATOR","INHIBITOR","FK506-binding protein 1A inhibitor",TRUE,"ChEMBL",-1
"C102976","ABL1","NEGATIVE MODULATOR","INHIBITOR","Tyrosine-protein kinase ABL inhibitor",TRUE,"ChEMBL",-1
"C102976","SRC","NEGATIVE MODULATOR","INHIBITOR","Tyrosine-protein kinase SRC inhibitor",TRUE,"ChEMBL",-1
"C102980","ENPP3","OTHER","BINDING AGENT","Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 binding agent",TRUE,"ChEMBL",0
"C102980","TUBA1A","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBA1B","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBA1C","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBA3E","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBA4A","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBB","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBB1","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBB2A","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBB2B","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBB3","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBB4A","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBB4B","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBB6","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C102980","TUBB8","OTHER","DISRUPTING AGENT","Tubulin disrupting agent",TRUE,"ChEMBL",0
"C1031","DHFR","NEGATIVE MODULATOR","INHIBITOR","Dihydrofolate reductase inhibitor",TRUE,"ChEMBL",-1
"C103147","BCL2","NEGATIVE MODULATOR","INHIBITOR","Apoptosis regulator Bcl-2 inhibitor",TRUE,"ChEMBL",-1
"C103194","CD274","NEGATIVE MODULATOR","INHIBITOR","Programmed cell death 1 ligand 1 inhibitor",TRUE,"ChEMBL",-1
"C103272","GUCY1A1","POSITIVE MODULATOR","ACTIVATOR","Soluble guanylate cyclase activator",TRUE,"ChEMBL",1
"C103272","GUCY1A2","POSITIVE MODULATOR","ACTIVATOR","Soluble guanylate cyclase activator",TRUE,"ChEMBL",1
"C103272","GUCY1B1","POSITIVE MODULATOR","ACTIVATOR","Soluble guanylate cyclase activator",TRUE,"ChEMBL",1
"C103273","FGFR1","NEGATIVE MODULATOR","INHIBITOR","Fibroblast growth factor receptor inhibitor",TRUE,"ChEMBL",-1
"C103273","FGFR2","NEGATIVE MODULATOR","INHIBITOR","Fibroblast growth factor receptor inhibitor",TRUE,"ChEMBL",-1
"C103273","FGFR3","NEGATIVE MODULATOR","INHIBITOR","Fibroblast growth factor receptor inhibitor",TRUE,"ChEMBL",-1
"C103273","FGFR4","NEGATIVE MODULATOR","INHIBITOR","Fibroblast growth factor receptor inhibitor",TRUE,"ChEMBL",-1
"C103274","NOTCH1","NEGATIVE MODULATOR","INHIBITOR","Neurogenic locus notch homolog protein 1 inhibitor",TRUE,"ChEMBL",-1
"C103277","PIK3CD","NEGATIVE MODULATOR","INHIBITOR","PI3-kinase p110-delta subunit inhibitor",TRUE,"ChEMBL",-1
"C103298","BRD2","NEGATIVE MODULATOR","INHIBITOR","Bromodomain and extra-terminal motif (BET) inhibitor",TRUE,"ChEMBL",-1
"C103298","BRD3","NEGATIVE MODULATOR","INHIBITOR","Bromodomain and extra-terminal motif (BET) inhibitor",TRUE,"ChEMBL",-1
"C103298","BRD4","NEGATIVE MODULATOR","INHIBITOR","Bromodomain and extra-terminal motif (BET) inhibitor",TRUE,"ChEMBL",-1
"C103298","BRDT","NEGATIVE MODULATOR","INHIBITOR","Bromodomain and extra-terminal motif (BET) inhibitor",TRUE,"ChEMBL",-1
"C1033","ADORA1","NEGATIVE MODULATOR","ANTAGONIST","Adenosine receptor antagonist",TRUE,"ChEMBL",-1
"C1033","ADORA2A","NEGATIVE MODULATOR","ANTAGONIST","Adenosine receptor antagonist",TRUE,"ChEMBL",-1
"C1033","ADORA2B","NEGATIVE MODULATOR","ANTAGONIST","Adenosine receptor antagonist",TRUE,"ChEMBL",-1
"C1033","ADORA3","NEGATIVE MODULATOR","ANTAGONIST","Adenosine receptor antagonist",TRUE,"ChEMBL",-1
"C1034","SERPINC1","POSITIVE MODULATOR","ACTIVATOR","Antithrombin-III activator",TRUE,"ChEMBL",1
"C103820","KIR2DL1","NEGATIVE MODULATOR","INHIBITOR","Killer cell immunoglobulin-like receptor 2DL1 inhibitor",TRUE,"ChEMBL",-1
"C103820","KIR2DL2","NEGATIVE MODULATOR","INHIBITOR","Killer cell immunoglobulin-like receptor 2DL2 inhibitor",TRUE,"ChEMBL",-1
"C103820","KIR2DL3","NEGATIVE MODULATOR","INHIBITOR","Killer cell immunoglobulin-like receptor 2DL3 inhibitor",TRUE,"ChEMBL",-1
"C103826","SMO","NEGATIVE MODULATOR","ANTAGONIST","Smoothened homolog antagonist",TRUE,"ChEMBL",-1
"C103856","CSF3R","POSITIVE MODULATOR","AGONIST","Granulocyte colony stimulating factor receptor agonist",TRUE,"ChEMBL",1
"C103861","PIK3CA","NEGATIVE MODULATOR","INHIBITOR","PI3-kinase p110-alpha subunit inhibitor",TRUE,"ChEMBL",-1
"C103861","PIK3CB","NEGATIVE MODULATOR","INHIBITOR","PI3-kinase p110-beta subunit inhibitor",TRUE,"ChEMBL",-1
"C103863","ERBB3","NEGATIVE MODULATOR","INHIBITOR","Receptor tyrosine-protein kinase erbB-3 inhibitor",TRUE,"ChEMBL",-1
"C103863","IGF1R","NEGATIVE MODULATOR","INHIBITOR","Insulin-like growth factor I receptor inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC1","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC10","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC11","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC2","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC3","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC4","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC5","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC6","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC7","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC8","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","HDAC9","NEGATIVE MODULATOR","INHIBITOR","Histone deacetylase inhibitor",TRUE,"ChEMBL",-1
"C104008","PIK3CA","NEGATIVE MODULATOR","INHIBITOR","PI3-kinase p110-alpha subunit inhibitor",TRUE,"ChEMBL",-1
"C104008","PIK3CB","NEGATIVE MODULATOR","INHIBITOR","PI3-kinase p110-beta subunit inhibitor",TRUE,"ChEMBL",-1
"C104008","PIK3CD","NEGATIVE MODULATOR","INHIBITOR","PI3-kinase p110-delta subunit inhibitor",TRUE,"ChEMBL",-1
"C104012","TGFB1","NEGATIVE MODULATOR","INHIBITOR","Transforming growth factor beta inhibitor",TRUE,"ChEMBL",-1
"C104012","TGFB2","NEGATIVE MODULATOR","INHIBITOR","Transforming growth factor beta inhibitor",TRUE,"ChEMBL",-1
"C104012","TGFB3","NEGATIVE MODULATOR","INHIBITOR","Transforming growth factor beta inhibitor",TRUE,"ChEMBL",-1
"C104045","MAPK1","NEGATIVE MODULATOR","INHIBITOR","MAP kinase ERK2 inhibitor",TRUE,"ChEMBL",-1
"C104045","MAPK3","NEGATIVE MODULATOR","INHIBITOR","MAP kinase ERK1 inhibitor",TRUE,"ChEMBL",-1
"C104055","PGR","OTHER","MODULATOR","Progesterone receptor modulator",TRUE,"ChEMBL",0
