"source_node","source_node_type","affected_gene","affected_gene_role","pathlength","link_product"
"C101895","treatment","KDR","ONCOGENE",3,0
"C101895","treatment","ERBB3","ONCOGENE",3,0
"C102535","treatment","ERBB3","ONCOGENE",1,-1
"C102535","treatment","PRKCB","ONCOGENE",3,0
"C102535","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,1
"C102535","treatment","PLCG1","ONCOGENE",2,-1
"C102535","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C102535","treatment","PIK3CB","ONCOGENE",3,-1
"C102535","treatment","PIK3CA","ONCOGENE",3,-1
"C102535","treatment","SOS1","ONCOGENE",3,-1
"C102535","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C102535","treatment","PDGFRA","ONCOGENE",3,0
"C102535","treatment","PDGFRB","ONCOGENE",3,0
"C102535","treatment","FGFR1","ONCOGENE",3,0
"C102535","treatment","KIT","ONCOGENE",3,0
"C102535","treatment","NTRK1","ONCOGENE",3,0
"C102535","treatment","ERBB2","ONCOGENE",3,0
"C102535","treatment","MET","ONCOGENE",3,0
"C102535","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C102535","treatment","FGFR4","ONCOGENE",3,0
"C102535","treatment","EGFR","ONCOGENE",3,0
"C102535","treatment","FGFR2","ONCOGENE",3,0
"C102535","treatment","FGFR3","ONCOGENE",3,0
"C102535","treatment","FLT3","ONCOGENE",3,0
"C102535","treatment","KDR","ONCOGENE",3,0
"C102535","treatment","ERBB3","ONCOGENE",3,0
"C102564","treatment","AKT1","ONCOGENE",1,-1
"C102564","treatment","TSC2","TUMOUR SUPPRESSOR",3,0
"C102564","treatment","NFKBIA","TUMOUR SUPPRESSOR",3,0
"C102564","treatment","TSC1","TUMOUR SUPPRESSOR",3,0
"C102564","treatment","RELA","ONCOGENE",3,0
"C102564","treatment","BCL2","ONCOGENE",3,0
"C102564","treatment","CREBBP","TUMOUR SUPPRESSOR",3,1
"C102564","treatment","EP300","TUMOUR SUPPRESSOR",3,1
"C102564","treatment","MDM2","ONCOGENE",2,-1
"C102564","treatment","RB1","TUMOUR SUPPRESSOR",3,1
"C102564","treatment","TP53","TUMOUR SUPPRESSOR",3,1
"C102564","treatment","MTOR","ONCOGENE",2,-1
"C102564","treatment","RHOA","ONCOGENE",3,-1
"C102564","treatment","PRKCB","ONCOGENE",3,-1
"C102564","treatment","CLIP1","TUMOUR SUPPRESSOR",3,-1
"C102564","treatment","MTOR","ONCOGENE",3,1
"C102564","treatment","RAF1","ONCOGENE",2,1
"C102564","treatment","MAP2K1","ONCOGENE",3,0
"C102564","treatment","CDKN1A","TUMOUR SUPPRESSOR",2,1
"C102564","treatment","CCND3","ONCOGENE",3,0
"C102564","treatment","CDK4","ONCOGENE",3,0
"C102564","treatment","CCND1","ONCOGENE",3,0
"C102564","treatment","CCND2","ONCOGENE",3,0
"C102564","treatment","CTNNB1","ONCOGENE",3,0
"C102564","treatment","MYC","ONCOGENE",3,0
"C102564","treatment","AXIN2","TUMOUR SUPPRESSOR",3,0
"C102564","treatment","AXIN1","TUMOUR SUPPRESSOR",3,0
"C102564","treatment","TP53","TUMOUR SUPPRESSOR",2,1
"C102564","treatment","MDM2","ONCOGENE",3,1
"C102564","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,0
"C102564","treatment","PTEN","TUMOUR SUPPRESSOR",3,1
"C102564","treatment","PPM1D","TUMOUR SUPPRESSOR",3,1
"C102564","treatment","FAS","TUMOUR SUPPRESSOR",3,1
"C102564","treatment","DDB2","TUMOUR SUPPRESSOR",3,0
"C102564","treatment","CDKN1B","TUMOUR SUPPRESSOR",3,1
"C102564","treatment","TSC1","TUMOUR SUPPRESSOR",2,1
"C102564","treatment","MAP2K4","TUMOUR SUPPRESSOR",2,1
"C102564","treatment","FOXO1","ONCOGENE",2,1
"C102564","treatment","TSC2","TUMOUR SUPPRESSOR",2,1
"C102564","treatment","CDKN1B","TUMOUR SUPPRESSOR",2,1
"C102564","treatment","RXRA","TUMOUR SUPPRESSOR",3,-1
"C102564","treatment","PTPN13","TUMOUR SUPPRESSOR",3,0
"C102564","treatment","TRAF3","TUMOUR SUPPRESSOR",3,0
"C102564","treatment","BIRC3","ONCOGENE",3,0
"C102564","treatment","RELA","ONCOGENE",2,0
"C102565","treatment","RAC1","ONCOGENE",3,0
"C102565","treatment","PLCB4","ONCOGENE",2,0
"C102565","treatment","PRKCB","ONCOGENE",3,0
"C102565","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,0
"C102571","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,1
"C102571","treatment","STAT6","ONCOGENE",3,0
"C102571","treatment","PTPN11","ONCOGENE",3,1
"C102571","treatment","PIK3CA","ONCOGENE",3,1
"C102571","treatment","PIK3CB","ONCOGENE",3,1
"C102571","treatment","CCND2","ONCOGENE",3,1
"C102571","treatment","PIM1","TUMOUR SUPPRESSOR",3,1
"C102571","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,1
"C102571","treatment","MYC","ONCOGENE",3,1
"C102571","treatment","CCND3","ONCOGENE",3,1
"C102571","treatment","CCND1","ONCOGENE",3,1
"C102571","treatment","BCL2","ONCOGENE",3,1
"C102571","treatment","SOCS1","TUMOUR SUPPRESSOR",3,1
"C102571","treatment","JAK3","ONCOGENE",2,1
"C102754","treatment","ALK","ONCOGENE",1,-1
"C102754","treatment","KRAS","ONCOGENE",2,-1
"C102754","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,1
"C102754","treatment","BRAF","ONCOGENE",3,-1
"C102754","treatment","PIK3CB","ONCOGENE",3,1
"C102754","treatment","ARAF","ONCOGENE",3,-1
"C102754","treatment","RAF1","ONCOGENE",3,-1
"C102754","treatment","RALGDS","ONCOGENE",3,-1
"C102754","treatment","PIK3CA","ONCOGENE",3,1
"C102754","treatment","AKT1","ONCOGENE",3,0
"C102754","treatment","MTOR","ONCOGENE",3,1
"C102754","treatment","RAC1","ONCOGENE",3,1
"C102754","treatment","VAV1","ONCOGENE",3,0
"C102754","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,-1
"C102754","treatment","STAT6","ONCOGENE",3,-1
"C102754","treatment","PTPN11","ONCOGENE",3,-1
"C102754","treatment","JAK3","ONCOGENE",2,-1
"C102754","treatment","PIK3CA","ONCOGENE",2,-1
"C102754","treatment","PLCG1","ONCOGENE",2,-1
"C102754","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,1
"C102754","treatment","PRKCB","ONCOGENE",3,0
"C102754","treatment","NRAS","ONCOGENE",2,-1
"C102754","treatment","HRAS","ONCOGENE",2,-1
"C102754","treatment","PIK3CB","ONCOGENE",2,-1
"C102758","treatment","AKT1","ONCOGENE",3,0
"C102758","treatment","MTOR","ONCOGENE",3,0
"C102758","treatment","RAC1","ONCOGENE",3,0
"C102758","treatment","VAV1","ONCOGENE",3,0
"C102758","treatment","PIK3CA","ONCOGENE",2,0
"C102758","treatment","PIK3CB","ONCOGENE",2,0
"C102758","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,0
"C102784","treatment","NRAS","ONCOGENE",2,0
"C102784","treatment","PIK3CB","ONCOGENE",3,0
"C102784","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,0
"C102784","treatment","RALGDS","ONCOGENE",3,0
"C102784","treatment","BRAF","ONCOGENE",3,0
"C102784","treatment","RAF1","ONCOGENE",3,0
"C102784","treatment","PIK3CA","ONCOGENE",3,0
"C102784","treatment","ARAF","ONCOGENE",3,0
"C102784","treatment","AKT1","ONCOGENE",3,0
"C102784","treatment","RAC1","ONCOGENE",3,0
"C102784","treatment","MTOR","ONCOGENE",3,0
"C102784","treatment","VAV1","ONCOGENE",3,0
"C102784","treatment","PIK3CB","ONCOGENE",2,0
"C102784","treatment","STAT6","ONCOGENE",3,0
"C102784","treatment","PTPN11","ONCOGENE",3,0
"C102784","treatment","CCND2","ONCOGENE",3,0
"C102784","treatment","PIM1","TUMOUR SUPPRESSOR",3,0
"C102784","treatment","CCND1","ONCOGENE",3,0
"C102784","treatment","MYC","ONCOGENE",3,0
"C102784","treatment","BCL2","ONCOGENE",3,0
"C102784","treatment","CCND3","ONCOGENE",3,0
"C102784","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,0
"C102784","treatment","SOCS1","TUMOUR SUPPRESSOR",3,0
"C102784","treatment","KRAS","ONCOGENE",2,0
"C102784","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,0
"C102784","treatment","JAK3","ONCOGENE",2,0
"C102784","treatment","HRAS","ONCOGENE",2,0
"C102784","treatment","PIK3CA","ONCOGENE",2,0
"C102852","treatment","PIK3CB","ONCOGENE",3,-1
"C102852","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C102852","treatment","PIK3CA","ONCOGENE",3,-1
"C102852","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,-1
"C102852","treatment","RAC1","ONCOGENE",3,0
"C102852","treatment","MTOR","ONCOGENE",3,1
"C102852","treatment","AKT1","ONCOGENE",3,0
"C102852","treatment","VAV1","ONCOGENE",3,0
"C102852","treatment","SOS1","ONCOGENE",3,-1
"C102852","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C102852","treatment","PDGFRA","ONCOGENE",3,0
"C102852","treatment","PDGFRB","ONCOGENE",3,0
"C102852","treatment","FGFR1","ONCOGENE",3,0
"C102852","treatment","KIT","ONCOGENE",3,0
"C102852","treatment","NTRK1","ONCOGENE",3,0
"C102852","treatment","ERBB2","ONCOGENE",3,0
"C102852","treatment","MET","ONCOGENE",3,0
"C102852","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C102852","treatment","FGFR4","ONCOGENE",3,0
"C102852","treatment","EGFR","ONCOGENE",3,0
"C102852","treatment","FGFR2","ONCOGENE",3,0
"C102852","treatment","FGFR3","ONCOGENE",3,0
"C102852","treatment","FLT3","ONCOGENE",3,0
"C102852","treatment","KDR","ONCOGENE",3,0
"C102852","treatment","ERBB3","ONCOGENE",3,0
"C102852","treatment","PRKCB","ONCOGENE",3,0
"C102852","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,1
"C102852","treatment","PIK3CA","ONCOGENE",2,-1
"C102852","treatment","PLCG1","ONCOGENE",2,-1
"C102852","treatment","PIK3CB","ONCOGENE",2,-1
"C102852","treatment","KDR","ONCOGENE",1,-1
"C102852","treatment","KRAS","ONCOGENE",3,-1
"C102852","treatment","NRAS","ONCOGENE",3,-1
"C102852","treatment","HRAS","ONCOGENE",3,-1
"C102852","treatment","CTNNB1","ONCOGENE",3,1
"C102852","treatment","ARHGAP35","TUMOUR SUPPRESSOR",3,0
"C102852","treatment","ARHGAP5","TUMOUR SUPPRESSOR",3,0
"C102852","treatment","MAP3K1","TUMOUR SUPPRESSOR",3,-1
"C102852","treatment","PAK2","ONCOGENE",3,-1
"C102852","treatment","WAS","TUMOUR SUPPRESSOR",3,-1
"C102877","treatment","KDR","ONCOGENE",1,-1
"C102877","treatment","RAC1","ONCOGENE",3,0
"C102877","treatment","AKT1","ONCOGENE",3,0
"C102877","treatment","MTOR","ONCOGENE",3,1
"C102877","treatment","VAV1","ONCOGENE",3,0
"C102877","treatment","PLCG1","ONCOGENE",2,-1
"C102877","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,1
"C102877","treatment","PRKCB","ONCOGENE",3,0
"C102877","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C102877","treatment","PIK3CB","ONCOGENE",3,-1
"C102877","treatment","PIK3CA","ONCOGENE",3,-1
"C102877","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,-1
"C102877","treatment","KRAS","ONCOGENE",3,-1
"C102877","treatment","NRAS","ONCOGENE",3,-1
"C102877","treatment","HRAS","ONCOGENE",3,-1
"C102877","treatment","CTNNB1","ONCOGENE",3,1
"C102877","treatment","ARHGAP35","TUMOUR SUPPRESSOR",3,0
"C102877","treatment","ARHGAP5","TUMOUR SUPPRESSOR",3,0
"C102877","treatment","PIK3CA","ONCOGENE",2,-1
"C102877","treatment","SOS1","ONCOGENE",3,-1
"C102877","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C102877","treatment","PDGFRA","ONCOGENE",3,0
"C102877","treatment","PDGFRB","ONCOGENE",3,0
"C102877","treatment","FGFR1","ONCOGENE",3,0
"C102877","treatment","KIT","ONCOGENE",3,0
"C102877","treatment","NTRK1","ONCOGENE",3,0
"C102877","treatment","ERBB2","ONCOGENE",3,0
"C102877","treatment","MET","ONCOGENE",3,0
"C102877","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C102877","treatment","FGFR4","ONCOGENE",3,0
"C102877","treatment","EGFR","ONCOGENE",3,0
"C102877","treatment","FGFR2","ONCOGENE",3,0
"C102877","treatment","FGFR3","ONCOGENE",3,0
"C102877","treatment","FLT3","ONCOGENE",3,0
"C102877","treatment","KDR","ONCOGENE",3,0
"C102877","treatment","ERBB3","ONCOGENE",3,0
"C102877","treatment","PIK3CB","ONCOGENE",2,-1
"C102877","treatment","MAP3K1","TUMOUR SUPPRESSOR",3,-1
"C102877","treatment","PAK2","ONCOGENE",3,-1
"C102877","treatment","WAS","TUMOUR SUPPRESSOR",3,-1
"C102880","treatment","MTOR","ONCOGENE",1,-1
"C102880","treatment","RHOA","ONCOGENE",2,-1
"C102880","treatment","PRKCB","ONCOGENE",2,-1
"C102880","treatment","NRAS","ONCOGENE",3,0
"C102880","treatment","RAF1","ONCOGENE",3,0
"C102880","treatment","BRAF","ONCOGENE",3,-1
"C102880","treatment","ARAF","ONCOGENE",3,-1
"C102880","treatment","HRAS","ONCOGENE",3,0
"C102880","treatment","MTOR","ONCOGENE",3,-1
"C102880","treatment","KRAS","ONCOGENE",3,0
"C102880","treatment","RRAS2","ONCOGENE",3,0
"C102880","treatment","CLIP1","TUMOUR SUPPRESSOR",2,-1
"C102976","treatment","AKT1","ONCOGENE",3,0
"C102976","treatment","MTOR","ONCOGENE",3,1
"C102976","treatment","RAC1","ONCOGENE",3,1
"C102976","treatment","VAV1","ONCOGENE",3,0
"C102976","treatment","KRAS","ONCOGENE",2,-1
"C102976","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,0
"C102976","treatment","BRAF","ONCOGENE",3,-1
